#,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total
1,Bulbasaur,0,0,0,1,0,0,1
2,Ivysaur,0,0,0,1,1,0,2
3,Venusaur,0,0,0,2,1,0,3
4,Charmander,0,0,0,0,0,1,1
5,Charmeleon,0,0,0,1,0,1,2
6,Charizard,0,0,0,3,0,0,3
7,Squirtle,0,0,1,0,0,0,1
8,Wartortle,0,0,1,0,1,0,2
9,Blastoise,0,0,0,0,3,0,3
10,Caterpie,1,0,0,0,0,0,1
11,Metapod,0,0,2,0,0,0,2
12,Butterfree,0,0,0,2,1,0,3
13,Weedle,0,0,0,0,0,1,1
14,Kakuna,0,0,2,0,0,0,2
15,Beedrill,0,2,0,0,1,0,3
16,Pidgey,0,0,0,0,0,1,1
17,Pidgeotto,0,0,0,0,0,2,2
18,Pidgeot,0,0,0,0,0,3,3
19,Rattata,0,0,0,0,0,1,1
20,Raticate,0,0,0,0,0,2,2
21,Spearow,0,0,0,0,0,1,1
22,Fearow,0,0,0,0,0,2,2
23,Ekans,0,1,0,0,0,0,1
24,Arbok,0,2,0,0,0,0,2
25,Pikachu,0,0,0,0,0,2,2
26,Raichu,0,0,0,0,0,3,3
27,Sandshrew,0,0,1,0,0,0,1
28,Sandslash,0,0,2,0,0,0,2
29,Nidoran♀,1,0,0,0,0,0,1
30,Nidorina,2,0,0,0,0,0,2
31,Nidoqueen,3,0,0,0,0,0,3
32,Nidoran♂,0,1,0,0,0,0,1
33,Nidorino,0,2,0,0,0,0,2
34,Nidoking,0,3,0,0,0,0,3
35,Clefairy,2,0,0,0,0,0,2
36,Clefable,3,0,0,0,0,0,3
37,Vulpix,0,0,0,0,0,1,1
38,Ninetales,0,0,0,0,1,1,2
39,Jigglypuff,2,0,0,0,0,0,2
40,Wigglytuff,3,0,0,0,0,0,3
41,Zubat,0,0,0,0,0,1,1
42,Golbat,0,0,0,0,0,2,2
43,Oddish,0,0,0,1,0,0,1
44,Gloom,0,0,0,2,0,0,2
45,Vileplume,0,0,0,3,0,0,3
46,Paras,0,1,0,0,0,0,1
47,Parasect,0,2,1,0,0,0,3
48,Venonat,0,0,0,0,1,0,1
49,Venomoth,0,0,0,1,0,1,2
50,Diglett,0,0,0,0,0,1,1
51,Dugtrio,0,0,0,0,0,2,2
52,Meowth,0,0,0,0,0,1,1
53,Persian,0,0,0,0,0,2,2
54,Psyduck,0,0,0,1,0,0,1
55,Golduck,0,0,0,2,0,0,2
56,Mankey,0,1,0,0,0,0,1
57,Primeape,0,2,0,0,0,0,2
58,Growlithe,0,1,0,0,0,0,1
59,Arcanine,0,2,0,0,0,0,2
60,Poliwag,0,0,0,0,0,1,1
61,Poliwhirl,0,0,0,0,0,2,2
62,Poliwrath,0,0,3,0,0,0,3
63,Abra,0,0,0,1,0,0,1
64,Kadabra,0,0,0,2,0,0,2
65,Alakazam,0,0,0,3,0,0,3
66,Machop,0,1,0,0,0,0,1
67,Machoke,0,2,0,0,0,0,2
68,Machamp,0,3,0,0,0,0,3
69,Bellsprout,0,1,0,0,0,0,1
70,Weepinbell,0,2,0,0,0,0,2
71,Victreebel,0,3,0,0,0,0,3
72,Tentacool,0,0,0,0,1,0,1
73,Tentacruel,0,0,0,0,2,0,2
74,Geodude,0,0,1,0,0,0,1
75,Graveler,0,0,2,0,0,0,2
76,Golem,0,0,3,0,0,0,3
77,Ponyta,0,0,0,0,0,1,1
78,Rapidash,0,0,0,0,0,2,2
79,Slowpoke,1,0,0,0,0,0,1
80,Slowbro,0,0,2,0,0,0,2
81,Magnemite,0,0,0,1,0,0,1
82,Magneton,0,0,0,2,0,0,2
83,Farfetch'd,0,1,0,0,0,0,1
84,Doduo,0,1,0,0,0,0,1
85,Dodrio,0,2,0,0,0,0,2
86,Seel,0,0,0,0,1,0,1
87,Dewgong,0,0,0,0,2,0,2
88,Grimer,1,0,0,0,0,0,1
89,Muk,1,1,0,0,0,0,2
90,Shellder,0,0,1,0,0,0,1
91,Cloyster,0,0,2,0,0,0,2
92,Gastly,0,0,0,1,0,0,1
93,Haunter,0,0,0,2,0,0,2
94,Gengar,0,0,0,3,0,0,3
95,Onix,0,0,1,0,0,0,1
96,Drowzee,0,0,0,0,1,0,1
97,Hypno,0,0,0,0,2,0,2
98,Krabby,0,1,0,0,0,0,1
99,Kingler,0,2,0,0,0,0,2
100,Voltorb,0,0,0,0,0,1,1
101,Electrode,0,0,0,0,0,2,2
102,Exeggcute,0,0,1,0,0,0,1
103,Exeggutor,0,0,0,2,0,0,2
104,Cubone,0,0,1,0,0,0,1
105,Marowak,0,0,2,0,0,0,2
106,Hitmonlee,0,2,0,0,0,0,2
107,Hitmonchan,0,0,0,0,2,0,2
108,Lickitung,2,0,0,0,0,0,2
109,Koffing,0,0,1,0,0,0,1
110,Weezing,0,0,2,0,0,0,2
111,Rhyhorn,0,0,1,0,0,0,1
112,Rhydon,0,2,0,0,0,0,2
113,Chansey,2,0,0,0,0,0,2
114,Tangela,0,0,1,0,0,0,1
115,Kangaskhan,2,0,0,0,0,0,2
116,Horsea,0,0,0,1,0,0,1
117,Seadra,0,0,1,1,0,0,2
118,Goldeen,0,1,0,0,0,0,1
119,Seaking,0,2,0,0,0,0,2
120,Staryu,0,0,0,0,0,1,1
121,Starmie,0,0,0,0,0,2,2
122,Mr. Mime,0,0,0,0,2,0,2
123,Scyther,0,1,0,0,0,0,1
124,Jynx,0,0,0,2,0,0,2
125,Electabuzz,0,0,0,0,0,2,2
126,Magmar,0,0,0,2,0,0,2
127,Pinsir,0,2,0,0,0,0,2
128,Tauros,0,1,0,0,0,1,2
129,Magikarp,0,0,0,0,0,1,1
130,Gyarados,0,2,0,0,0,0,2
131,Lapras,2,0,0,0,0,0,2
132,Ditto,1,0,0,0,0,0,1
133,Eevee,0,0,0,0,1,0,1
134,Vaporeon,2,0,0,0,0,0,2
135,Jolteon,0,0,0,0,0,2,2
136,Flareon,0,2,0,0,0,0,2
137,Porygon,0,0,0,1,0,0,1
138,Omanyte,0,0,1,0,0,0,1
139,Omastar,0,0,2,0,0,0,2
140,Kabuto,0,0,1,0,0,0,1
141,Kabutops,0,2,0,0,0,0,2
142,Aerodactyl,0,0,0,0,0,2,2
143,Snorlax,2,0,0,0,0,0,2
144,Articuno,0,0,0,0,3,0,3
145,Zapdos,0,0,0,3,0,0,3
146,Moltres,0,0,0,3,0,0,3
147,Dratini,0,1,0,0,0,0,1
148,Dragonair,0,2,0,0,0,0,2
149,Dragonite,0,3,0,0,0,0,3
150,Mewtwo,0,0,0,3,0,0,3
151,Mew,3,0,0,0,0,0,3
152,Chikorita,0,0,0,0,1,0,1
153,Bayleef,0,0,1,0,1,0,2
154,Meganium,0,0,1,0,2,0,3
155,Cyndaquil,0,0,0,0,0,1,1
156,Quilava,0,0,0,1,0,1,2
157,Typhlosion,0,0,0,3,0,0,3
158,Totodile,0,1,0,0,0,0,1
159,Croconaw,0,1,1,0,0,0,2
160,Feraligatr,0,2,1,0,0,0,3
161,Sentret,0,1,0,0,0,0,1
162,Furret,0,0,0,0,0,2,2
163,Hoothoot,1,0,0,0,0,0,1
164,Noctowl,2,0,0,0,0,0,2
165,Ledyba,0,0,0,0,1,0,1
166,Ledian,0,0,0,0,2,0,2
167,Spinarak,0,1,0,0,0,0,1
168,Ariados,0,2,0,0,0,0,2
169,Crobat,0,0,0,0,0,3,3
170,Chinchou,1,0,0,0,0,0,1
171,Lanturn,2,0,0,0,0,0,2
172,Pichu,0,0,0,0,0,1,1
173,Cleffa,0,0,0,0,1,0,1
174,Igglybuff,1,0,0,0,0,0,1
175,Togepi,0,0,0,0,1,0,1
176,Togetic,0,0,0,0,2,0,2
177,Natu,0,0,0,1,0,0,1
178,Xatu,0,0,0,1,0,1,2
179,Mareep,0,0,0,1,0,0,1
180,Flaaffy,0,0,0,2,0,0,2
181,Ampharos,0,0,0,3,0,0,3
182,Bellossom,0,0,0,0,3,0,3
183,Marill,2,0,0,0,0,0,2
184,Azumarill,3,0,0,0,0,0,3
185,Sudowoodo,0,0,2,0,0,0,2
186,Politoed,0,0,0,0,3,0,3
187,Hoppip,0,0,0,0,1,0,1
188,Skiploom,0,0,0,0,0,2,2
189,Jumpluff,0,0,0,0,0,3,3
190,Aipom,0,0,0,0,0,1,1
191,Sunkern,0,0,0,1,0,0,1
192,Sunflora,0,0,0,2,0,0,2
193,Yanma,0,0,0,0,0,1,1
194,Wooper,1,0,0,0,0,0,1
195,Quagsire,2,0,0,0,0,0,2
196,Espeon,0,0,0,2,0,0,2
197,Umbreon,0,0,0,0,2,0,2
198,Murkrow,0,0,0,0,0,1,1
199,Slowking,0,0,0,0,3,0,3
200,Misdreavus,0,0,0,0,1,0,1
201,Unown,0,1,0,1,0,0,2
202,Wobbuffet,2,0,0,0,0,0,2
203,Girafarig,0,0,0,2,0,0,2
204,Pineco,0,0,1,0,0,0,1
205,Forretress,0,0,2,0,0,0,2
206,Dunsparce,1,0,0,0,0,0,1
207,Gligar,0,0,1,0,0,0,1
208,Steelix,0,0,2,0,0,0,2
209,Snubbull,0,1,0,0,0,0,1
210,Granbull,0,2,0,0,0,0,2
211,Qwilfish,0,1,0,0,0,0,1
212,Scizor,0,2,0,0,0,0,2
213,Shuckle,0,0,1,0,1,0,2
214,Heracross,0,2,0,0,0,0,2
215,Sneasel,0,0,0,0,0,1,1
216,Teddiursa,0,1,0,0,0,0,1
217,Ursaring,0,2,0,0,0,0,2
218,Slugma,0,0,0,1,0,0,1
219,Magcargo,0,0,2,0,0,0,2
220,Swinub,0,1,0,0,0,0,1
221,Piloswine,1,1,0,0,0,0,2
222,Corsola,0,0,1,0,1,0,2
223,Remoraid,0,0,0,1,0,0,1
224,Octillery,0,1,0,1,0,0,2
225,Delibird,0,0,0,0,0,1,1
226,Mantine,0,0,0,0,2,0,2
227,Skarmory,0,0,2,0,0,0,2
228,Houndour,0,0,0,1,0,0,1
229,Houndoom,0,0,0,2,0,0,2
230,Kingdra,0,1,0,1,1,0,3
231,Phanpy,1,0,0,0,0,0,1
232,Donphan,0,1,1,0,0,0,2
233,Porygon2,0,0,0,2,0,0,2
234,Stantler,0,1,0,0,0,0,1
235,Smeargle,0,0,0,0,0,1,1
236,Tyrogue,0,1,0,0,0,0,1
237,Hitmontop,0,0,0,0,2,0,2
238,Smoochum,0,0,0,1,0,0,1
239,Elekid,0,0,0,0,0,1,1
240,Magby,0,0,0,0,0,1,1
241,Miltank,0,0,2,0,0,0,2
242,Blissey,3,0,0,0,0,0,3
243,Raikou,0,0,0,1,0,2,3
244,Entei,1,2,0,0,0,0,3
245,Suicune,0,0,1,0,2,0,3
246,Larvitar,0,1,0,0,0,0,1
247,Pupitar,0,2,0,0,0,0,2
248,Tyranitar,0,3,0,0,0,0,3
249,Lugia,0,0,0,0,3,0,3
250,Ho-Oh,0,0,0,0,3,0,3
251,Celebi,3,0,0,0,0,0,3
252,Treecko,0,0,0,0,0,1,1
253,Grovyle,0,0,0,0,0,2,2
254,Sceptile,0,0,0,0,0,3,3
255,Torchic,0,0,0,1,0,0,1
256,Combusken,0,1,0,1,0,0,2
257,Blaziken,0,3,0,0,0,0,3
258,Mudkip,0,1,0,0,0,0,1
259,Marshtomp,0,2,0,0,0,0,2
260,Swampert,0,3,0,0,0,0,3
261,Poochyena,0,1,0,0,0,0,1
262,Mightyena,0,2,0,0,0,0,2
263,Zigzagoon,0,0,0,0,0,1,1
264,Linoone,0,0,0,0,0,2,2
265,Wurmple,1,0,0,0,0,0,1
266,Silcoon,0,0,2,0,0,0,2
267,Beautifly,0,0,0,3,0,0,3
268,Cascoon,0,0,2,0,0,0,2
269,Dustox,0,0,0,0,3,0,3
270,Lotad,0,0,0,0,1,0,1
271,Lombre,0,0,0,0,2,0,2
272,Ludicolo,0,0,0,0,3,0,3
273,Seedot,0,0,1,0,0,0,1
274,Nuzleaf,0,2,0,0,0,0,2
275,Shiftry,0,3,0,0,0,0,3
276,Taillow,0,0,0,0,0,1,1
277,Swellow,0,0,0,0,0,2,2
278,Wingull,0,0,0,0,0,1,1
279,Pelipper,0,0,2,0,0,0,2
280,Ralts,0,0,0,1,0,0,1
281,Kirlia,0,0,0,2,0,0,2
282,Gardevoir,0,0,0,3,0,0,3
283,Surskit,0,0,0,0,0,1,1
284,Masquerain,0,0,0,1,1,0,2
285,Shroomish,1,0,0,0,0,0,1
286,Breloom,0,2,0,0,0,0,2
287,Slakoth,1,0,0,0,0,0,1
288,Vigoroth,0,0,0,0,0,2,2
289,Slaking,3,0,0,0,0,0,3
290,Nincada,0,0,1,0,0,0,1
291,Ninjask,0,0,0,0,0,2,2
292,Shedinja,2,0,0,0,0,0,2
293,Whismur,1,0,0,0,0,0,1
294,Loudred,2,0,0,0,0,0,2
295,Exploud,3,0,0,0,0,0,3
296,Makuhita,1,0,0,0,0,0,1
297,Hariyama,2,0,0,0,0,0,2
298,Azurill,1,0,0,0,0,0,1
299,Nosepass,0,0,1,0,0,0,1
300,Skitty,0,0,0,0,0,1,1
301,Delcatty,1,0,0,0,0,1,2
302,Sableye,0,1,1,0,0,0,2
303,Mawile,0,1,1,0,0,0,2
304,Aron,0,0,1,0,0,0,1
305,Lairon,0,0,2,0,0,0,2
306,Aggron,0,0,3,0,0,0,3
307,Meditite,0,0,0,0,0,1,1
308,Medicham,0,0,0,0,0,2,2
309,Electrike,0,0,0,0,0,1,1
310,Manectric,0,0,0,0,0,2,2
311,Plusle,0,0,0,0,0,1,1
312,Minun,0,0,0,0,0,1,1
313,Volbeat,0,0,0,0,0,1,1
314,Illumise,0,0,0,0,0,1,1
315,Roselia,0,0,0,2,0,0,2
316,Gulpin,1,0,0,0,0,0,1
317,Swalot,2,0,0,0,0,0,2
318,Carvanha,0,1,0,0,0,0,1
319,Sharpedo,0,2,0,0,0,0,2
320,Wailmer,1,0,0,0,0,0,1
321,Wailord,2,0,0,0,0,0,2
322,Numel,0,0,0,1,0,0,1
323,Camerupt,0,1,0,1,0,0,2
324,Torkoal,0,0,2,0,0,0,2
325,Spoink,0,0,0,0,1,0,1
326,Grumpig,0,0,0,0,2,0,2
327,Spinda,0,0,0,1,0,0,1
328,Trapinch,0,1,0,0,0,0,1
329,Vibrava,0,1,0,0,0,1,2
330,Flygon,0,1,0,0,0,2,3
331,Cacnea,0,0,0,1,0,0,1
332,Cacturne,0,1,0,1,0,0,2
333,Swablu,0,0,0,0,1,0,1
334,Altaria,0,0,0,0,2,0,2
335,Zangoose,0,2,0,0,0,0,2
336,Seviper,0,1,0,1,0,0,2
337,Lunatone,0,0,0,2,0,0,2
338,Solrock,0,2,0,0,0,0,2
339,Barboach,1,0,0,0,0,0,1
340,Whiscash,2,0,0,0,0,0,2
341,Corphish,0,1,0,0,0,0,1
342,Crawdaunt,0,2,0,0,0,0,2
343,Baltoy,0,0,0,0,1,0,1
344,Claydol,0,0,0,0,2,0,2
345,Lileep,0,0,0,0,1,0,1
346,Cradily,0,0,0,0,2,0,2
347,Anorith,0,1,0,0,0,0,1
348,Armaldo,0,2,0,0,0,0,2
349,Feebas,0,0,0,0,0,1,1
350,Milotic,0,0,0,0,2,0,2
351,Castform,1,0,0,0,0,0,1
352,Kecleon,0,0,0,0,1,0,1
353,Shuppet,0,1,0,0,0,0,1
354,Banette,0,2,0,0,0,0,2
355,Duskull,0,0,0,0,1,0,1
356,Dusclops,0,0,1,0,1,0,2
357,Tropius,2,0,0,0,0,0,2
358,Chimecho,0,0,0,1,1,0,2
359,Absol,0,2,0,0,0,0,2
360,Wynaut,1,0,0,0,0,0,1
361,Snorunt,1,0,0,0,0,0,1
362,Glalie,2,0,0,0,0,0,2
363,Spheal,1,0,0,0,0,0,1
364,Sealeo,2,0,0,0,0,0,2
365,Walrein,3,0,0,0,0,0,3
366,Clamperl,0,0,1,0,0,0,1
367,Huntail,0,1,1,0,0,0,2
368,Gorebyss,0,0,0,2,0,0,2
369,Relicanth,1,0,1,0,0,0,2
370,Luvdisc,0,0,0,0,0,1,1
371,Bagon,0,1,0,0,0,0,1
372,Shelgon,0,0,2,0,0,0,2
373,Salamence,0,3,0,0,0,0,3
374,Beldum,0,0,1,0,0,0,1
375,Metang,0,0,2,0,0,0,2
376,Metagross,0,0,3,0,0,0,3
